AverageTemperature,City,Year,Month
24.008,0,1843,03
26.793,0,1845,08
25.804,0,1846,10
26.763,0,1846,12
26.05,0,1849,01
24.535,0,1849,02
25.167,0,1849,03
23.92,0,1849,04
25.174,0,1849,05
27.128,0,1849,06
27.706,0,1849,07
27.537,0,1849,08
26.565,0,1849,09
26.073,0,1849,10
26.993,0,1849,11
25.193,0,1849,12
26.106,0,1850,01
25.635,0,1850,02
24.776,0,1850,03
24.33,0,1850,04
24.201,0,1850,05
26.773,0,1850,06
27.771,0,1850,07
27.625,0,1850,08
26.797,0,1850,09
26.316,0,1850,10
25.796,0,1850,11
24.262,0,1850,12
25.296,0,1851,01
23.974,0,1851,02
23.677,0,1851,03
24.349,0,1851,04
26.33,0,1851,05
27.467,0,1851,06
27.163,0,1851,07
27.416,0,1851,08
26.277,0,1851,09
26.591,0,1851,10
25.243,0,1851,11
25.528,0,1851,12
23.464,0,1852,01
25.581,0,1852,02
23.836,0,1852,03
24.621,0,1852,04
26.412,0,1852,05
26.929,0,1852,06
27.301,0,1852,07
27.26,0,1852,08
26.425,0,1852,09
26.15,0,1852,10
26.144,0,1852,11
26.575,0,1852,12
23.741,0,1853,01
22.949,0,1853,02
22.914,0,1853,03
24.062,0,1853,04
25.987,0,1853,05
26.511,0,1853,06
27.963,0,1853,07
26.843,0,1853,08
26.291,0,1853,09
25.942,0,1853,10
26.246,0,1853,11
25.529,0,1853,12
23.859,0,1854,01
23.116,0,1854,02
24.708,0,1854,03
23.899,0,1854,04
25.896,0,1854,05
26.553,0,1854,06
26.422,0,1854,07
26.306,0,1854,08
26.003,0,1854,09
26.983,0,1854,10
25.995,0,1854,11
24.147,0,1854,12
25.252,0,1855,01
23.404,0,1855,02
22.99,0,1855,03
24.521,0,1855,04
26.881,0,1855,05
26.875,0,1855,06
26.112,0,1855,07
26.133,0,1855,08
25.407,0,1855,09
25.149,0,1855,10
25.903,0,1855,11
24.875,0,1855,12
22.9,0,1856,01
23.171,0,1856,02
23.403,0,1856,03
24.499,0,1856,04
25.529,0,1856,05
27.622,0,1856,06
27.031,0,1856,07
27.774,0,1856,08
25.523,0,1856,09
25.079,0,1856,10
24.832,0,1856,11
25.085,0,1856,12
24.368,0,1857,01
24.64,0,1857,02
22.985,0,1857,03
22.837,0,1857,04
25.193,0,1857,05
27.255,0,1857,06
27.513,0,1857,07
27.465,0,1857,08
26.056,0,1857,09
26.313,0,1857,10
26.44,0,1857,11
25.134,0,1857,12
25.741,0,1858,01
23.609,0,1858,02
23.705,0,1858,03
25.07,0,1858,04
26.921,0,1858,05
27.326,0,1858,06
27.3,0,1858,07
26.868,0,1858,08
26.63,0,1858,09
27.744,0,1858,10
25.631,0,1858,11
24.828,0,1858,12
24.613,0,1859,01
25.493,0,1859,02
24.91,0,1859,03
25.212,0,1859,04
27.005,0,1859,05
27.544,0,1859,06
27.236,0,1859,07
27.572,0,1859,08
26.208,0,1859,09
26.387,0,1859,10
26.273,0,1859,11
24.142,0,1859,12
24.223,0,1860,01
23.344,0,1860,02
22.541,0,1860,03
24.214,0,1860,04
25.668,0,1860,05
28.006,0,1860,06
27.417,0,1860,07
26.739,0,1860,08
26.345,0,1860,09
26.271,0,1860,10
26.136,0,1860,11
24.583,0,1860,12
23.84,0,1861,01
23.01,0,1861,02
23.597,0,1861,03
24.421,0,1861,04
25.655,0,1861,05
27.807,0,1861,06
27.874,0,1861,07
27.198,0,1861,08
26.75,0,1861,09
26.148,0,1861,10
27.405,0,1861,11
26.103,0,1861,12
25.097,0,1862,01
23.567,0,1862,02
23.764,0,1862,03
24.697,0,1862,04
26.154,0,1862,05
27.323,0,1862,06
27.679,0,1862,07
27.275,0,1862,08
26.346,0,1862,09
25.773,0,1862,10
25.744,0,1862,11
24.227,0,1862,12
24.77,0,1863,01
24.601,0,1863,02
24.913,0,1863,03
24.837,0,1863,04
25.546,0,1863,05
27.429,0,1863,06
27.347,0,1863,07
26.991,0,1863,08
26.7,0,1863,09
26.248,0,1863,10
25.919,0,1863,11
24.583,0,1863,12
23.869,0,1864,01
23.841,0,1864,02
23.221,0,1864,03
24.228,0,1864,04
25.601,0,1864,05
27.548,0,1864,06
27.371,0,1864,07
26.907,0,1864,08
27.014,0,1864,09
26.016,0,1864,10
25.853,0,1864,11
25.586,0,1864,12
25.133,0,1865,01
23.92,0,1865,02
23.568,0,1865,03
24.216,0,1865,04
25.914,0,1865,05
27.506,0,1865,06
27.489,0,1865,07
27.446,0,1865,08
26.484,0,1865,09
26.285,0,1865,10
26.494,0,1865,11
26.003,0,1865,12
25.619,0,1866,01
23.616,0,1866,02
24.46,0,1866,03
24.32,0,1866,04
26.004,0,1866,05
26.76,0,1866,06
27.343,0,1866,07
27.239,0,1866,08
27.155,0,1866,09
26.012,0,1866,10
26.003,0,1866,11
26.013,0,1866,12
25.729,0,1867,01
24.758,0,1867,02
25.426,0,1867,03
24.997,0,1867,04
26.327,0,1867,05
27.67,0,1867,06
27.488,0,1867,07
27.487,0,1867,08
27.369,0,1867,09
26.86,0,1867,10
26.473,0,1867,11
27.168,0,1867,12
25.258,0,1868,01
23.533,0,1868,02
24.345,0,1868,03
24.574,0,1868,04
25.696,0,1868,05
27.496,0,1868,06
27.006,0,1868,07
27.199,0,1868,08
26.753,0,1868,09
26.774,0,1868,10
25.204,0,1868,11
24.946,0,1868,12
25.231,0,1869,01
25.661,0,1869,02
24.896,0,1869,03
25.324,0,1869,04
26.402,0,1869,05
27.234,0,1869,06
27.641,0,1869,07
27.045,0,1869,08
27.31,0,1869,09
26.432,0,1869,10
27.499,0,1869,11
24.39,0,1869,12
24.954,0,1870,01
23.98,0,1870,02
24.774,0,1870,03
24.448,0,1870,04
26.399,0,1870,05
27.705,0,1870,06
27.498,0,1870,07
27.148,0,1870,08
27.875,0,1870,09
26.597,0,1870,10
26.006,0,1870,11
23.566,0,1870,12
24.055,0,1871,01
24.308,0,1871,02
24.009,0,1871,03
24.87,0,1871,04
25.671,0,1871,05
26.832,0,1871,06
27.317,0,1871,07
27.963,0,1871,08
27.433,0,1871,09
26.183,0,1871,10
26.599,0,1871,11
25.545,0,1871,12
23.619,0,1872,01
24.287,0,1872,02
24.48,0,1872,03
24.939,0,1872,04
26.904,0,1872,05
27.404,0,1872,06
27.817,0,1872,07
27.21,0,1872,08
27.546,0,1872,09
26.719,0,1872,10
25.159,0,1872,11
24.712,0,1872,12
23.573,0,1873,01
25.98,0,1873,02
24.488,0,1873,03
23.823,0,1873,04
26.709,0,1873,05
26.957,0,1873,06
27.177,0,1873,07
26.953,0,1873,08
26.39,0,1873,09
26.57,0,1873,10
25.156,0,1873,11
26.533,0,1873,12
24.822,0,1874,01
25.483,0,1874,02
24.867,0,1874,03
23.531,0,1874,04
25.333,0,1874,05
26.52,0,1874,06
26.698,0,1874,07
27.742,0,1874,08
26.562,0,1874,09
26.243,0,1874,10
26.679,0,1874,11
26.21,0,1874,12
23.332,0,1875,01
23.837,0,1875,02
24.51,0,1875,03
23.995,0,1875,04
25.958,0,1875,05
27.21,0,1875,06
27.409,0,1875,07
27.293,0,1875,08
25.94,0,1875,09
26.221,0,1875,10
26.493,0,1875,11
25.938,0,1875,12
25.711,0,1876,01
24.416,0,1876,02
24.23,0,1876,03
24.433,0,1876,04
25.654,0,1876,05
27.148,0,1876,06
27.266,0,1876,07
27.266,0,1876,08
26.688,0,1876,09
26.551,0,1876,10
25.492,0,1876,11
23.604,0,1876,12
24.188,0,1877,01
23.712,0,1877,02
23.63,0,1877,03
24.256,0,1877,04
26.094,0,1877,05
27.1,0,1877,06
27.752,0,1877,07
28.145,0,1877,08
27.465,0,1877,09
27.916,0,1877,10
26.389,0,1877,11
25.598,0,1877,12
25.023,0,1878,01
24.587,0,1878,02
24.658,0,1878,03
25.878,0,1878,04
27.238,0,1878,05
28.515,0,1878,06
27.997,0,1878,07
27.255,0,1878,08
26.984,0,1878,09
27.031,0,1878,10
26.864,0,1878,11
25.395,0,1878,12
25.23,0,1879,01
23.667,0,1879,02
23.518,0,1879,03
24.489,0,1879,04
26.121,0,1879,05
26.658,0,1879,06
27.48,0,1879,07
26.999,0,1879,08
26.261,0,1879,09
26.13,0,1879,10
25.982,0,1879,11
25.846,0,1879,12
24.405,0,1880,01
24.106,0,1880,02
24.542,0,1880,03
24.302,0,1880,04
26.585,0,1880,05
27.021,0,1880,06
27.314,0,1880,07
27.038,0,1880,08
26.512,0,1880,09
26.259,0,1880,10
27.029,0,1880,11
25.416,0,1880,12
23.963,0,1881,01
23.75,0,1881,02
24.281,0,1881,03
24.798,0,1881,04
26.257,0,1881,05
27.09,0,1881,06
27.613,0,1881,07
27.176,0,1881,08
26.731,0,1881,09
26.876,0,1881,10
26.936,0,1881,11
25.595,0,1881,12
25.075,0,1882,01
24.722,0,1882,02
24.679,0,1882,03
24.902,0,1882,04
25.431,0,1882,05
26.862,0,1882,06
27.226,0,1882,07
26.557,0,1882,08
26.607,0,1882,09
26.721,0,1882,10
25.527,0,1882,11
24.461,0,1882,12
23.9,0,1883,01
23.475,0,1883,02
23.118,0,1883,03
24.388,0,1883,04
25.202,0,1883,05
26.69,0,1883,06
26.8,0,1883,07
26.617,0,1883,08
26.331,0,1883,09
26.6,0,1883,10
26.118,0,1883,11
25.027,0,1883,12
23.614,0,1884,01
23.356,0,1884,02
23.919,0,1884,03
24.378,0,1884,04
